[Table3D]
0.25	0.43	0.62	0.80	0.98	1.17	1.35	1.56	1.76	1.97	2.17	2.38	2.58	2.79	2.99	3.20
700	0.00	0.00	0.00	1.05	4.92	5.98	6.68	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
800	0.00	0.00	0.00	1.05	4.92	5.98	6.68	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
1200	0.00	0.00	0.00	1.05	4.92	5.98	6.68	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
1600	0.00	0.00	0.00	1.05	4.92	5.98	6.68	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
2000	0.00	0.00	0.00	1.05	4.92	5.98	6.68	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
2400	0.00	0.00	0.00	1.05	4.92	5.98	6.68	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
2800	0.00	0.00	0.00	0.70	3.52	5.27	6.33	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
3200	0.00	0.00	0.00	0.70	3.16	4.57	6.33	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
3600	0.00	0.00	0.00	0.70	3.16	4.22	4.57	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
4000	0.00	0.00	0.00	0.70	2.11	2.46	4.22	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
4400	0.00	0.00	0.00	0.70	2.11	2.11	2.81	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
4800	0.00	0.00	0.00	0.70	2.11	2.11	2.81	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
5200	0.00	0.00	0.00	0.70	2.11	2.11	2.81	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
5600	0.00	0.00	0.00	0.35	1.76	2.11	2.46	4.92	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
6000	0.00	0.00	0.00	0.35	1.41	2.11	2.46	4.92	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
6400	0.00	0.00	0.00	0.35	1.05	1.05	2.11	4.22	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
6600	0.00	0.00	0.00	0.35	1.05	1.05	2.11	4.22	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
7000	0.00	0.00	0.00	0.35	1.05	1.05	1.41	3.52	7.03	7.03	7.03	7.03	7.03	7.03	7.03	7.03
